participant_id,account_status,horizon,baseline_stage,baseline_stage_label,baseline_exercise,baseline_date,followup_stage,followup_stage_label,followup_exercise,followup_date,stages_gained,confirmed_goblet_to_nexus,progression_classification
WSP-369FB9871C,deactivated,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2024-05-10,2,Nexus Point Squat,Nexus Point Squat,2024-09-20,0,False,Same highest stage observed
WSP-094A18C2BC,deactivated,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2024-04-12,2,Nexus Point Squat,Nexus Point Squat,2024-09-06,0,False,Same highest stage observed
WSP-430F2625BA,deactivated,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2024-04-26,2,Nexus Point Squat,Nexus Point Squat,2024-08-09,0,False,Same highest stage observed
WSP-430F2625BA,deactivated,12 months (300-450d),2,Nexus Point Squat,Nexus Point Squat,2024-04-26,2,Nexus Point Squat,Barbell Front Squat,2025-02-03,0,False,Same highest stage observed
WSP-3E58E62E3C,deactivated,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2024-05-10,2,Nexus Point Squat,Nexus Point Squat,2024-08-30,0,False,Same highest stage observed
WSP-F148A8C19A,active,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2024-05-17,2,Nexus Point Squat,Nexus Point Squat,2024-11-22,0,False,Same highest stage observed
WSP-F148A8C19A,active,12 months (300-450d),2,Nexus Point Squat,Nexus Point Squat,2024-05-17,2,Nexus Point Squat,Barbell Back Squat,2025-04-05,0,False,Same highest stage observed
WSP-F148A8C19A,active,24 months (600-900d),2,Nexus Point Squat,Nexus Point Squat,2024-05-17,2,Nexus Point Squat,Barbell Front Squat,2026-01-13,0,False,Same highest stage observed
WSP-0F776FC732,active,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2024-08-23,2,Nexus Point Squat,Barbell Front Squat,2024-12-30,0,False,Same highest stage observed
WSP-0F776FC732,active,12 months (300-450d),2,Nexus Point Squat,Nexus Point Squat,2024-08-23,2,Nexus Point Squat,Barbell Front Squat,2025-06-16,0,False,Same highest stage observed
WSP-CA8A80ADFD,deactivated,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2024-06-07,2,Nexus Point Squat,Nexus Point Squat,2024-09-20,0,False,Same highest stage observed
WSP-598C3651E3,active,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2024-07-19,2,Nexus Point Squat,Nexus Point Squat,2024-11-15,0,False,Same highest stage observed
WSP-598C3651E3,active,12 months (300-450d),2,Nexus Point Squat,Nexus Point Squat,2024-07-19,2,Nexus Point Squat,Barbell Front Squat,2025-05-12,0,False,Same highest stage observed
WSP-598C3651E3,active,24 months (600-900d),2,Nexus Point Squat,Nexus Point Squat,2024-07-19,2,Nexus Point Squat,Barbell Front Squat,2026-03-13,0,False,Same highest stage observed
WSP-F384938133,deactivated,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2024-07-26,2,Nexus Point Squat,Nexus Point Squat,2024-11-29,0,False,Same highest stage observed
WSP-F384938133,deactivated,12 months (300-450d),2,Nexus Point Squat,Nexus Point Squat,2024-07-26,2,Nexus Point Squat,Barbell Front Squat,2025-05-26,0,False,Same highest stage observed
WSP-F384938133,deactivated,24 months (600-900d),2,Nexus Point Squat,Nexus Point Squat,2024-07-26,2,Nexus Point Squat,Barbell Front Squat,2026-03-20,0,False,Same highest stage observed
WSP-88E68BBB20,deactivated,6 months (120-240d),2,Nexus Point Squat,Barbell Back Squat,2024-08-01,2,Nexus Point Squat,Barbell Front Squat,2025-03-20,0,False,Same highest stage observed
WSP-88E68BBB20,deactivated,12 months (300-450d),2,Nexus Point Squat,Barbell Back Squat,2024-08-01,2,Nexus Point Squat,Barbell Front Squat,2025-05-29,0,False,Same highest stage observed
WSP-122F29AB30,active,6 months (120-240d),2,Nexus Point Squat,Barbell Back Squat,2024-08-01,2,Nexus Point Squat,Barbell Front Squat,2025-01-02,0,False,Same highest stage observed
WSP-122F29AB30,active,12 months (300-450d),2,Nexus Point Squat,Barbell Back Squat,2024-08-01,2,Nexus Point Squat,Barbell Front Squat,2025-07-18,0,False,Same highest stage observed
WSP-122F29AB30,active,24 months (600-900d),2,Nexus Point Squat,Barbell Back Squat,2024-08-01,2,Nexus Point Squat,Barbell Front Squat,2026-04-13,0,False,Same highest stage observed
