participant_id,account_status,movement,baseline_source_exercise,followup_source_exercise,horizon,baseline_level,followup_level,levels_gained,baseline_ratio,followup_ratio
WSP-E6C38FCCB7,deactivated,Bench Press,Barbell Bench Press,Barbell Bench Press,6 months (120-240d),Live,Live,0,0.502,0.501
WSP-E6C38FCCB7,deactivated,Deadlift,Barbell Deadlift,Barbell Deadlift,6 months (120-240d),Live,Live,0,0.867,0.925
WSP-E6C38FCCB7,deactivated,Nexus Point Squat,Barbell Back Squat,Nexus Point Squat,6 months (120-240d),Live,Live,0,0.674,0.622
WSP-793DCC26EF,deactivated,Bench Press,Barbell Bench Press,Barbell Bench Press,6 months (120-240d),Long,Long,0,0.817,0.784
WSP-793DCC26EF,deactivated,Deadlift,Barbell Deadlift,Barbell Deadlift,6 months (120-240d),Long,Long,0,1.484,1.905
WSP-793DCC26EF,deactivated,Nexus Point Squat,Barbell Back Squat,Nexus Point Squat,6 months (120-240d),Long,Long,0,1.29,1.265
WSP-793DCC26EF,deactivated,Overhead Press,Barbell Overhead Press,Barbell Overhead Press,6 months (120-240d),Live,Live,0,0.434,0.436
WSP-793DCC26EF,deactivated,Romanian Deadlift,Barbell Romanian Deadlift,Barbell Romanian Deadlift,6 months (120-240d),Live,Live,0,0.817,1.143
WSP-DB04841EAF,deactivated,Bench Press,Barbell Bench Press,Barbell Bench Press,12 months (300-450d),Below Live,Live,1,0.184,0.25
WSP-DB04841EAF,deactivated,Bench Press,Barbell Bench Press,Barbell Bench Press,6 months (120-240d),Below Live,Live,1,0.184,0.285
WSP-DB04841EAF,deactivated,Deadlift,Barbell Deadlift,Barbell Deadlift,12 months (300-450d),Below Live,Below Live,0,0.284,0.442
WSP-DB04841EAF,deactivated,Deadlift,Barbell Deadlift,Barbell Deadlift,6 months (120-240d),Below Live,Live,1,0.284,0.538
WSP-DB04841EAF,deactivated,Nexus Point Squat,Barbell Back Squat,Nexus Point Squat,6 months (120-240d),Below Live,Below Live,0,0.165,0.206
WSP-E3A5A761C3,active,Bench Press,Barbell Bench Press,Barbell Bench Press,12 months (300-450d),Live,Live,0,0.304,0.38
WSP-E3A5A761C3,active,Bench Press,Barbell Bench Press,Barbell Bench Press,24 months (600-900d),Live,Live,0,0.304,0.507
WSP-E3A5A761C3,active,Bench Press,Barbell Bench Press,Barbell Bench Press,6 months (120-240d),Live,Live,0,0.304,0.348
WSP-E3A5A761C3,active,Bench Press,Barbell Bench Press,Barbell Bench Press,Beyond 24 months (901d+),Live,Live,0,0.304,0.507
WSP-E3A5A761C3,active,Deadlift,Barbell Deadlift,Barbell Deadlift,12 months (300-450d),Live,Live,0,0.585,1.078
WSP-E3A5A761C3,active,Deadlift,Barbell Deadlift,Barbell Deadlift,24 months (600-900d),Live,Long,1,0.585,1.338
WSP-E3A5A761C3,active,Deadlift,Barbell Deadlift,Barbell Deadlift,6 months (120-240d),Live,Live,0,0.585,0.877
WSP-E3A5A761C3,active,Deadlift,Barbell Deadlift,Barbell Deadlift,Beyond 24 months (901d+),Live,Long,1,0.585,1.364
WSP-E3A5A761C3,active,Farmer Walk 60s,Farmer Walk,Farmer Walk,24 months (600-900d),Below Live,Below Live,0,0.11,0.364
WSP-E3A5A761C3,active,Nexus Point Squat,Barbell Back Squat,Nexus Point Squat,12 months (300-450d),Live,Below Live,-1,0.576,0.202
WSP-E3A5A761C3,active,Nexus Point Squat,Barbell Back Squat,Barbell Front Squat,24 months (600-900d),Live,Live,0,0.576,0.512
WSP-E3A5A761C3,active,Nexus Point Squat,Barbell Back Squat,Nexus Point Squat,6 months (120-240d),Live,Live,0,0.576,0.54
WSP-E3A5A761C3,active,Overhead Press,Barbell Overhead Press,Barbell Overhead Press,6 months (120-240d),Below Live,Live,1,0.151,0.25
WSP-E3A5A761C3,active,Romanian Deadlift,Barbell Romanian Deadlift,Barbell Romanian Deadlift,Beyond 24 months (901d+),Below Live,Long,2,0.545,1.368
WSP-C1751DA190,deactivated,Bench Press,Barbell Bench Press,Barbell Bench Press,6 months (120-240d),Live,Live,0,0.269,0.385
WSP-C1751DA190,deactivated,Deadlift,Barbell Deadlift,Barbell Deadlift,12 months (300-450d),Live,Long,1,0.638,1.39
WSP-C1751DA190,deactivated,Deadlift,Barbell Deadlift,Barbell Deadlift,6 months (120-240d),Live,Live,0,0.638,1.114
WSP-C1751DA190,deactivated,Farmer Walk 60s,Farmer Walk,Farmer Walk,12 months (300-450d),Below Live,Below Live,0,0.106,0.244
